exp,epoch,horizon_steps,event,group,peak,mse_h,mse_u,mse_v,mse_mean,csi_all,csi_int,bias_mean,wet_frac_pred,wet_frac_gt,wet_frac_delta,false_pos_rate,false_neg_rate
E4_pushforward,800,24,Group_2_peak_1600_Group_2_peak_1600_0_0-80_interpolated.pkl,2,1600,0.21892156966619405,0.03311693381769357,0.010112176913248597,0.08738356013237875,0.5576622021221082,0.553781365151781,-0.16023234107352669,0.21693154412219406,0.33065363923072166,-0.1137220951085276,0.021767361325830188,0.1354894564343578
E4_pushforward,800,6,Group_4_peak_2000_Group_4_peak_2000_0_0-80_interpolated.pkl,4,2000,0.017082057271399373,0.007791968547758494,0.0019905274694172557,0.008954851096191707,0.9007421150278293,0.8983855650522318,-0.01010013887224816,0.12392554573001051,0.12330715478325398,0.0006183909467565307,0.006925978603673243,0.006307587656916702
E4_pushforward,800,12,Group_4_peak_2000_Group_4_peak_2000_0_0-80_interpolated.pkl,4,2000,0.6341082422790039,0.14230692452764765,0.03364006703738557,0.2700184112813457,0.5379419944378228,0.53330658105939,-0.2860135125668635,0.1834147548079896,0.2891596067033579,-0.10574485189536828,0.019046441160101416,0.12479129305546967
E4_pushforward,800,24,Group_4_peak_2000_Group_4_peak_2000_0_0-80_interpolated.pkl,4,2000,0.20667589009138823,0.032500795541452195,0.00907503545923601,0.08275057369735882,0.5421042581630705,0.5376903797956429,-0.13517616955603395,0.19844165481417353,0.2947869643188424,-0.09634530950466885,0.025972419763774658,0.1223177292684435
E4_pushforward,800,6,Group_1_peak_1200_Group_1_peak_1200_0_0-80_interpolated.pkl,1,1200,0.024198208294965943,0.00734624061965425,0.0019453926072316434,0.011163280507283947,0.8484288354898336,0.8455743879472694,0.011438217007393637,0.16251314080761858,0.14049842310308577,0.02201471770453281,0.023684373260775462,0.0016696555562426567
E4_pushforward,800,12,Group_1_peak_1200_Group_1_peak_1200_0_0-80_interpolated.pkl,1,1200,0.10454349285018032,0.025658367741579723,0.007268767132886666,0.04582354257488223,0.7107571560480148,0.7073797290985521,-0.05985253263099259,0.21884855605713932,0.2332570651165667,-0.014408509059427366,0.03153793828458351,0.045946447344010884
E4_pushforward,800,24,Group_1_peak_1200_Group_1_peak_1200_0_0-80_interpolated.pkl,1,1200,0.18272526133973155,0.03455970678563448,0.00935917984702969,0.07554804932413191,0.6119976927513939,0.6082314113764318,-0.1097912815814189,0.230165110382784,0.28210994991033334,-0.05194483952754933,0.036423226763960176,0.08836806629150949
E4_pushforward,800,6,Group_1_peak_2400_Group_1_peak_2400_0_0-80_interpolated.pkl,1,2400,0.04568521703984173,0.015044775657009481,0.007594581597419544,0.022774858098090253,0.8237831176833025,0.8219547623988379,-0.06343197222506725,0.2553954610104508,0.28755179024179084,-0.03215632923134004,0.010450807000185518,0.04260713623152557
E4_pushforward,800,12,Group_1_peak_2400_Group_1_peak_2400_0_0-80_interpolated.pkl,1,2400,0.2765667802116724,0.06577217215866185,0.0323896928951135,0.12490954842181594,0.6249650935492879,0.6223284589426322,-0.24400390262661556,0.27963638612330716,0.43386308824438813,-0.15422670212108097,0.005936553088862779,0.16016325520994373
E4_pushforward,800,24,Group_1_peak_2400_Group_1_peak_2400_0_0-80_interpolated.pkl,1,2400,0.5418406041949205,0.10210637584183516,0.03815716148642661,0.22736804717439407,0.49328579916815213,0.49025702331141663,-0.3693377975040195,0.2650423597798528,0.5058437944468493,-0.24080143466699655,0.01144023251499598,0.2522416671819925
E4_pushforward,800,6,Group_3_peak_3400_Group_3_peak_3400_0_0-80_interpolated.pkl,3,3400,0.047061502999639765,0.01375285512994506,0.005907163360147966,0.02224050716324426,0.8639386189258312,0.8627687016337059,-0.08240421703976254,0.31772926844350996,0.3521118050831736,-0.03438253663966362,0.007482530455754127,0.04186506709541772
E4_pushforward,800,12,Group_3_peak_3400_Group_3_peak_3400_0_0-80_interpolated.pkl,3,3400,0.4716563299454445,0.0950532522143925,0.040406229110640644,0.20237193709015922,0.6542089552238806,0.652090341182124,-0.32317799320542945,0.34438191824871683,0.5060293117308763,-0.16164739348215945,0.008719312349267207,0.17036670583142663
E4_pushforward,800,24,Group_3_peak_3400_Group_3_peak_3400_0_0-80_interpolated.pkl,3,3400,0.38736674153926764,0.06515715510523903,0.02328602580720819,0.15860330748390494,0.6013119533527697,0.5988755805426547,-0.2781350971646775,0.31834765939026655,0.4906313771566384,-0.17228371776637186,0.01533609547956218,0.18761981324593408
E4_pushforward,850,6,Group_1_peak_2600_Group_1_peak_2600_0_0-80_interpolated.pkl,1,2600,0.018576976506634507,0.005391971821879623,0.004544694214092937,0.009504547514202355,0.8590986879634912,0.8577462084853139,-0.03631139251254174,0.28730443386308824,0.311112485313215,-0.023808051450126766,0.011007358852266403,0.03481541030239317
E4_pushforward,850,12,Group_1_peak_2600_Group_1_peak_2600_0_0-80_interpolated.pkl,1,2600,0.23723100284336088,0.0502641555810589,0.029428584818745378,0.10564124774772171,0.6857445680975093,0.6836489730594826,-0.21285762200660133,0.32286191330158925,0.45779481788386617,-0.1349329045822769,0.005874713994187125,0.14080761857646404
E4_pushforward,850,24,Group_1_peak_2600_Group_1_peak_2600_0_0-80_interpolated.pkl,1,2600,0.535283512552398,0.09164444137157486,0.03809859452537449,0.22167551614978245,0.5711321189762508,0.5686456400742115,-0.35573183790620555,0.31241110630140373,0.5241481664708428,-0.2117370601694391,0.009152186011996785,0.2208892461814359
E4_pushforward,850,6,Group_2_peak_1000_Group_2_peak_1000_0_0-80_interpolated.pkl,2,1000,0.0502528718655125,0.01490550887171694,0.0032651663972922576,0.022807849044840563,0.8870512303348125,0.8847262247838616,0.044870936253555746,0.14779543627481292,0.13530393915033084,0.012491497124482082,0.014903221816832601,0.002411724692350504
E4_pushforward,850,12,Group_2_peak_1000_Group_2_peak_1000_0_0-80_interpolated.pkl,2,1000,0.0693332134552999,0.018831257049406285,0.0035824743361879316,0.030582314946964704,0.7427338129496402,0.738978102189781,0.008979998819682514,0.19868901119287613,0.16962463669531877,0.02906437449755736,0.042174262568795993,0.013109888071238637
E4_pushforward,850,24,Group_2_peak_1000_Group_2_peak_1000_0_0-80_interpolated.pkl,2,1000,0.1176189525605659,0.025715546342833035,0.004640457177776515,0.049324985360391815,0.7053952991452992,0.7014076881429345,0.059903690290247585,0.21346855482035743,0.17519015521612763,0.038278399604229796,0.05324346051573805,0.014965060911508255
E4_pushforward,850,6,Group_2_peak_1200_Group_2_peak_1200_0_0-80_interpolated.pkl,2,1200,0.030099710044254137,0.00818916878590321,0.0019409804966752206,0.01340995310894419,0.9107215654300856,0.9088639200998752,-0.01784628187008186,0.144208768783625,0.13944715849359965,0.004761610290025364,0.009152186011996785,0.00439057572197143
E4_pushforward,850,12,Group_2_peak_1200_Group_2_peak_1200_0_0-80_interpolated.pkl,2,1200,0.126038079255313,0.025753844755819644,0.007146060018500628,0.05297932800987776,0.7317362428842504,0.728516562650024,-0.04898863715693796,0.22014717704532805,0.22515614371405604,-0.005008966668727993,0.03246552470471832,0.03747449137344629
E4_pushforward,850,24,Group_2_peak_1200_Group_2_peak_1200_0_0-80_interpolated.pkl,2,1200,0.12591407502157564,0.027067026188393847,0.005616119031091313,0.05286574008035361,0.6873751941424451,0.6838680726946377,-0.020798353204980174,0.23437016882072848,0.2297322367200544,0.004637932100674064,0.045884608249335226,0.041246676148661184
E4_pushforward,850,6,Group_2_peak_1600_Group_2_peak_1600_0_0-80_interpolated.pkl,2,1600,0.032819505008871055,0.007805022986422277,0.001568836225797239,0.014064454740363524,0.8798724309000708,0.8777056277056277,-0.026240463403092343,0.15929750788448457,0.16257497990229422,-0.003277472017809646,0.008842990538618515,0.012120462556428175
E4_pushforward,850,12,Group_2_peak_1600_Group_2_peak_1600_0_0-80_interpolated.pkl,2,1600,0.15837130842278233,0.03164309394769642,0.01319774072247565,0.0677373810309848,0.7202578628638406,0.7174985204182285,-0.11666611762327236,0.23424649063137715,0.3041246676148661,-0.06987817698348897,0.009337703296023746,0.07921588027951271
E4_pushforward,850,24,Group_2_peak_1600_Group_2_peak_1600_0_0-80_interpolated.pkl,2,1600,0.17713329421946278,0.03356058814201971,0.008957464147357755,0.07321711550294675,0.6985852311939268,0.6959624086320919,-0.07886051684922082,0.2719683383835261,0.33065363923072166,-0.05868530084719559,0.024673798775585926,0.08335909962278153
E4_pushforward,850,6,Group_4_peak_2000_Group_4_peak_2000_0_0-80_interpolated.pkl,4,2000,0.01510249887907818,0.007378242030829805,0.0017829366389309753,0.008087892516279654,0.898186889818689,0.8957639219419324,-0.009247033761609324,0.1229979593098757,0.12330715478325398,-0.00030919547337827924,0.006616783130294972,0.006925978603673243
E4_pushforward,850,12,Group_4_peak_2000_Group_4_peak_2000_0_0-80_interpolated.pkl,4,2000,0.5330323981321662,0.1359439474074559,0.03161498060239374,0.2335304420473386,0.578728707935189,0.5743073047858942,-0.25737811659374804,0.17463360336404676,0.2891596067033579,-0.11452600333931112,0.005441840331457547,0.11996784367076865
E4_pushforward,850,24,Group_4_peak_2000_Group_4_peak_2000_0_0-80_interpolated.pkl,4,2000,0.1676320370051088,0.03325974675233672,0.00784086025888478,0.06957754800544344,0.5756855575868373,0.5717712177121771,-0.047781940677466606,0.23202028322305362,0.2947869643188424,-0.06276668109578876,0.04038092882320203,0.10314760991899079
E4_pushforward,850,6,Group_1_peak_1200_Group_1_peak_1200_0_0-80_interpolated.pkl,1,1200,0.026662323069534234,0.007721642386147574,0.001556136754802205,0.011980034070161337,0.9133386581469649,0.9115729421352893,0.0074656642616351705,0.1495887700204069,0.14049842310308577,0.009090346917321135,0.011254715230969018,0.0021643683136478883
E4_pushforward,850,12,Group_1_peak_1200_Group_1_peak_1200_0_0-80_interpolated.pkl,1,1200,0.11159341083385989,0.02179397359139498,0.005866990285183701,0.04641812490347952,0.7594036697247707,0.7566125290023202,-0.03570530220113359,0.23492672067280934,0.2332570651165667,0.0016696555562426552,0.03326943293550182,0.03159977737925917
E4_pushforward,850,24,Group_1_peak_1200_Group_1_peak_1200_0_0-80_interpolated.pkl,1,1200,0.1590405505207049,0.028046480164018193,0.0069506417924563284,0.06467922415905981,0.7170976456966422,0.7143413873733437,-0.05355891387601648,0.26195040504607014,0.28210994991033334,-0.02015954486426319,0.03524828396512275,0.05540782882938594
E4_pushforward,850,6,Group_1_peak_2400_Group_1_peak_2400_0_0-80_interpolated.pkl,1,2400,0.05088355217596088,0.013011523672279543,0.004080663170036736,0.022658579672759055,0.857288897975874,0.8558149142739103,-0.046584412115534754,0.26801063632428423,0.28755179024179084,-0.019541153917506604,0.011811267083049904,0.03135242100055655
E4_pushforward,850,12,Group_1_peak_2400_Group_1_peak_2400_0_0-80_interpolated.pkl,1,2400,0.2709928128563833,0.05651815586327595,0.02681019467558524,0.11810705446508152,0.6961189099917423,0.6940133037694013,-0.19510916774240925,0.3220580050708058,0.43386308824438813,-0.11180508317358234,0.01236781893513079,0.12417290210871312
E4_pushforward,850,24,Group_1_peak_2400_Group_1_peak_2400_0_0-80_interpolated.pkl,1,2400,0.47648189235683025,0.08916207662626371,0.032610080903826597,0.19941801662897352,0.5845824411134903,0.582096696984203,-0.31765082217008844,0.3116690371652959,0.5058437944468493,-0.19417475728155342,0.010883680662915094,0.20505843794446849
E4_pushforward,850,6,Group_3_peak_3400_Group_3_peak_3400_0_0-80_interpolated.pkl,3,3400,0.03455712571565621,0.010307895198084102,0.0055904216764005865,0.016818480863380298,0.8728943338437979,0.8718036725587781,-0.060929678018810676,0.32236720054418405,0.3521118050831736,-0.029744604538989527,0.008224599591861975,0.037969204130851524
E4_pushforward,850,12,Group_3_peak_3400_Group_3_peak_3400_0_0-80_interpolated.pkl,3,3400,0.40618125173375663,0.08377761850226544,0.03925522992502466,0.17640470005368225,0.6988697204045211,0.6970313622216902,-0.2790582449388566,0.3706635334858698,0.5060293117308763,-0.1353657782450065,0.010574485189536825,0.1459402634345433
